Session_ID,Student_ID,HRV,Skin_Temperature,Expression_Joy,Expression_Confusion,Steps,Emotion,Engagement_Level,Session_Duration,Learning_Phase,Start_Time,End_Time,Learning_Outcome,HRV_Frequency_Feature,Skin_Temperature_Frequency_Feature,Emotion_Label,Learning_Phase_Label
1.0,103.0,-0.1734694893317588,-0.34410399546085,0.4915608992117249,0.9625275158938968,580.0,Interest,4.0,32.0,Practice,2024-12-09 11:53:00,2024-12-09 12:29:00,Successful,7.815970093361102e-13,3.749001109554229e-12,3.0,2.0
2.0,171.0,0.777402195526748,0.3941448730073495,0.4108731997900617,0.421251260435577,662.0,Interest,3.0,59.0,Conclusion,2024-12-09 10:54:00,2024-12-09 11:13:00,Unsuccessful,47.843592595902514,59.40980583151715,3.0,0.0
3.0,196.0,-0.0214028495905556,-3.359162091246012,0.2285453718829445,0.5434083076072673,453.0,Happiness,3.0,23.0,Practice,2024-12-09 11:13:00,2024-12-09 12:10:00,Unsuccessful,8.279332453281825,30.667804065475103,2.0,2.0
4.0,181.0,0.7037167750514439,-1.5829774118057989,0.0845798850203095,0.4985233998185198,792.0,Happiness,5.0,27.0,Conclusion,2024-12-09 10:06:00,2024-12-09 10:40:00,Unsuccessful,38.83488826006177,8.70933022711299,2.0,0.0
5.0,165.0,0.5280760831232694,0.4854383950850076,0.2967023280135789,0.6295593953422454,934.0,Happiness,5.0,35.0,Practice,2024-12-09 14:46:00,2024-12-09 15:42:00,Successful,23.074583729519286,13.203920098371144,2.0,2.0
6.0,108.0,-0.2991022677860644,1.0487270350037707,0.446537089268652,0.98507134807354,526.0,Interest,4.0,31.0,Practice,2024-12-09 12:59:00,2024-12-09 13:25:00,Successful,61.903425564195096,50.517450102711976,3.0,2.0
7.0,129.0,0.656676337695443,0.305281298533793,0.0065615566137264,0.4881112091907248,267.0,Happiness,5.0,37.0,Conclusion,2024-12-09 10:38:00,2024-12-09 11:12:00,Successful,15.126755093753028,33.254504414794795,2.0,0.0
8.0,173.0,0.2459079018230538,-0.211325823862869,0.0958171697924283,0.7848291283259351,974.0,Boredom,1.0,42.0,Conclusion,2024-12-09 13:43:00,2024-12-09 14:16:00,Unsuccessful,36.6938219991302,50.24938277324464,0.0,0.0
9.0,111.0,1.3425782765333236,1.03774771474556,0.944208372358734,0.2956707268652747,751.0,Happiness,5.0,31.0,Practice,2024-12-09 13:54:00,2024-12-09 14:21:00,Successful,57.13275073136222,23.84553242501938,2.0,2.0
10.0,174.0,0.5660315369929539,0.3408043953151803,0.6543803842094585,0.0845468268907918,939.0,Confusion,2.0,15.0,Conclusion,2024-12-09 12:51:00,2024-12-09 13:47:00,Unsuccessful,38.8590560592533,25.13247807897457,1.0,0.0
11.0,142.0,-0.145445667629318,2.7732257831542437,0.6047697994419982,0.3680791203754272,968.0,Boredom,5.0,50.0,Practice,2024-12-09 14:06:00,2024-12-09 14:25:00,Successful,15.703370048741702,17.38743506448606,0.0,2.0
12.0,177.0,0.4775050888899864,0.4498311823184535,0.8050881345007702,0.3469203544681423,721.0,Interest,2.0,24.0,Practice,2024-12-09 08:58:00,2024-12-09 09:26:00,Unsuccessful,45.97675478683813,50.13210538876988,3.0,2.0
13.0,171.0,-0.6007107953203908,2.412823052689551,0.5279403482374925,0.3558543287448109,410.0,Boredom,1.0,15.0,Conclusion,2024-12-09 09:54:00,2024-12-09 10:40:00,Unsuccessful,17.967839343773043,33.541209844031656,0.0,0.0
14.0,123.0,-0.4284878551581325,1.646142858293602,0.1477794118981431,0.6883622608592063,733.0,Confusion,4.0,31.0,Conclusion,2024-12-09 10:53:00,2024-12-09 11:21:00,Successful,39.49137226786247,1.1428743913230943,1.0,0.0
15.0,175.0,-1.1319580927253845,-1.2935323262322926,0.8949028663935727,0.0280983202043,514.0,Happiness,5.0,57.0,Practice,2024-12-09 08:37:00,2024-12-09 09:16:00,Successful,9.110411597395323,44.69945351829812,2.0,2.0
16.0,165.0,-0.0453471657758921,-0.3079445176038989,0.0179073104369312,0.1952807361418278,216.0,Interest,2.0,45.0,Practice,2024-12-09 12:30:00,2024-12-09 13:11:00,Unsuccessful,29.184056488816847,29.97176434941059,3.0,2.0
17.0,124.0,-1.1578073664639654,-1.0362321229106524,0.3630494775517366,0.5230361788985628,942.0,Happiness,5.0,36.0,Conclusion,2024-12-09 12:22:00,2024-12-09 12:58:00,Successful,56.625388172556136,57.48632851514759,2.0,0.0
18.0,143.0,-0.994909159158416,1.0388216206026486,0.7809182551540309,0.4044659134397601,237.0,Confusion,2.0,56.0,Practice,2024-12-09 14:20:00,2024-12-09 14:59:00,Unsuccessful,57.25528265872792,36.002179189385274,1.0,2.0
19.0,195.0,-1.7194927821933372,-1.5470020625239518,0.9209455261385592,0.1331319846125342,241.0,Confusion,1.0,24.0,Conclusion,2024-12-09 14:39:00,2024-12-09 15:12:00,Unsuccessful,80.7176630199125,3.768219433257509,1.0,0.0
20.0,197.0,0.4005578503556293,-0.0571771419661199,0.2857443342490742,0.8677116459403794,565.0,Confusion,2.0,53.0,Introduction,2024-12-09 11:49:00,2024-12-09 12:06:00,Unsuccessful,27.255774604929552,23.101708107739725,1.0,1.0
21.0,166.0,0.7105371500988248,0.3628568634615229,0.31341431932038,0.4780013856754396,667.0,Confusion,3.0,55.0,Practice,2024-12-09 13:48:00,2024-12-09 14:32:00,Unsuccessful,47.40874312843468,19.140325615137296,1.0,2.0
22.0,113.0,0.4476756844454211,-1.4235140373682282,0.7273144580995021,0.8136853515237468,605.0,Boredom,4.0,45.0,Practice,2024-12-09 09:59:00,2024-12-09 10:46:00,Successful,5.861975539750398,31.340198143405765,0.0,2.0
23.0,109.0,-0.879280346356645,-1.563670158559045,0.6198649180568907,0.2350123882608868,553.0,Interest,4.0,38.0,Conclusion,2024-12-09 08:17:00,2024-12-09 09:06:00,Successful,12.606400629469938,36.12181007279719,3.0,0.0
24.0,179.0,-0.3725991274301402,-0.5439785135527427,0.6506997863121227,0.8762765066334678,664.0,Boredom,4.0,46.0,Conclusion,2024-12-09 08:33:00,2024-12-09 09:05:00,Successful,30.96651021267961,33.04018321078225,0.0,0.0
25.0,130.0,2.1912097669368773,-0.8387925989748114,0.8507785174513615,0.5105583923711847,460.0,Interest,3.0,30.0,Practice,2024-12-09 14:11:00,2024-12-09 14:43:00,Unsuccessful,32.70865315694896,17.327519167621574,3.0,2.0
26.0,139.0,-0.4797516090724203,0.9068856218756692,0.9507423686366676,0.7559076085516354,145.0,Confusion,3.0,32.0,Practice,2024-12-09 11:38:00,2024-12-09 12:04:00,Unsuccessful,30.850735252100307,23.000172448639503,1.0,2.0
